Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Conference
Air Force,13,10-3,947,5502,5.81,52,423.2,Mountain West
Akron,12,2-10,783,4089,5.22,29,340.8,MAC
Alabama,15,13-2,1119,7323,6.54,69,488.2,SEC
App State,14,10-4,980,6178,6.3,55,441.3,Sun Belt
Arizona,12,1-11,870,4271,4.91,18,355.9,Pac-12
Arizona St.,13,8-5,807,5018,6.22,46,386.0,Pac-12
Arkansas,13,9-4,902,5742,6.37,48,441.7,SEC
Arkansas St.,12,2-10,874,4756,5.44,31,396.3,Sun Belt
Army West Point,13,9-4,868,4881,5.62,57,375.5,FBS Independent
Auburn,13,6-7,899,5219,5.81,39,401.5,SEC
Ball St.,13,6-7,884,4398,4.98,35,338.3,MAC
Baylor,14,12-2,937,5918,6.32,53,422.7,Big 12
Boise St.,12,7-5,870,4572,5.26,35,381.0,Mountain West
Boston College,12,6-6,783,4201,5.37,34,350.1,ACC
Bowling Green,12,4-8,777,3802,4.89,27,316.8,MAC
Buffalo,12,4-8,905,4905,5.42,42,408.8,MAC
BYU,13,10-3,868,5884,6.78,56,452.6,FBS Independent
California,12,5-7,784,4632,5.91,33,386.0,Pac-12
Central Mich.,13,9-4,968,5764,5.95,49,443.4,MAC
Charlotte,12,5-7,824,4839,5.87,40,403.2,C-USA
Cincinnati,14,13-1,862,5803,6.73,67,414.5,AAC
Clemson,13,10-3,903,4668,5.17,38,359.1,ACC
Coastal Carolina,13,11-2,831,6431,7.74,69,494.7,Sun Belt
Colorado,12,4-8,707,3089,4.37,22,257.4,Pac-12
Colorado St.,12,3-9,911,4989,5.48,29,415.8,Mountain West
Duke,12,3-9,934,5011,5.37,31,417.6,ACC
East Carolina,12,7-5,899,5200,5.78,41,433.3,AAC
Eastern Mich.,13,7-6,910,4950,5.44,45,380.8,MAC
FIU,12,1-11,750,4400,5.87,31,366.7,C-USA
Fla. Atlantic,12,5-7,835,4800,5.75,38,400.0,C-USA
Florida,13,6-7,911,6017,6.6,53,462.8,SEC
Florida St.,12,5-7,786,4553,5.79,41,379.4,ACC
Fresno St.,13,10-3,953,6043,6.34,52,464.8,Mountain West
Ga. Southern,12,3-9,811,4087,5.04,27,340.6,Sun Belt
Georgia,15,14-1,952,6642,6.98,68,442.8,SEC
Georgia St.,13,8-5,896,5044,5.63,44,388.0,Sun Belt
Georgia Tech,12,3-9,786,4408,5.61,33,367.3,ACC
Hawaii,13,6-7,893,5265,5.9,41,405.0,Mountain West
Houston,14,12-2,977,5787,5.92,59,413.4,AAC
Illinois,12,5-7,790,3957,5.01,25,329.8,Big Ten
Indiana,12,2-10,818,3480,4.25,22,290.0,Big Ten
Iowa,14,10-4,911,4252,4.67,30,303.7,Big Ten
Iowa St.,13,7-6,857,5511,6.43,47,423.9,Big 12
Kansas,12,2-10,754,3890,5.16,30,324.2,Big 12
Kansas St.,13,8-5,748,4710,6.3,43,362.3,Big 12
Kent St.,14,7-7,1053,6933,6.58,57,495.2,MAC
Kentucky,13,10-3,862,5528,6.41,51,425.2,SEC
Liberty,13,8-5,889,5670,6.38,59,436.2,FBS Independent
Louisiana,14,13-1,984,5667,5.76,56,404.8,Sun Belt
Louisiana Tech,12,3-9,828,4612,5.57,38,384.3,C-USA
