Team,Def Rank,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Conference
LSU,105,882,5416,6.14,47,47,416.6,SEC
Oregon,22,893,4458,4.99,26,27,318.4,Pac-12
Oklahoma,77,935,5062,5.41,32,35,389.4,Big 12
Liberty,58,911,5217,5.73,44,45,372.6,CUSA
Georgia,9,848,4047,4.77,26,26,289.1,SEC
North Texas,130,872,5717,6.56,59,60,476.4,AAC
North Carolina,94,935,5257,5.62,41,43,404.4,ACC
UCF,81,882,5083,5.76,38,40,391.0,Big 12
Texas,34,900,4714,5.24,30,30,336.7,Big 12
Southern California,116,923,5627,6.10,56,59,432.8,Pac-12
TCU,100,867,4900,5.65,37,39,408.3,Big 12
Washington,96,1057,6101,5.77,48,48,406.7,Pac-12
Ole Miss,68,910,4969,5.46,36,37,382.2,SEC
Memphis,111,879,5502,6.26,46,48,423.2,AAC
Texas St.,91,906,5169,5.71,50,56,397.6,Sun Belt
SMU,12,927,4258,4.59,31,32,304.1,AAC
South Fla.,115,926,5622,6.07,55,57,432.5,AAC
UAB,118,846,5220,6.17,55,57,435.0,AAC
Tennessee,32,877,4357,4.97,28,30,335.2,SEC
Arizona,48,855,4653,5.44,34,34,357.9,Pac-12
Kansas,62,854,4917,5.76,42,42,378.2,Big 12
App State,63,924,5302,5.74,43,48,378.7,Sun Belt
Kansas St.,57,841,4843,5.76,31,32,372.5,Big 12
South Alabama,15,813,4072,5.01,30,34,313.2,Sun Belt
Utah St.,117,973,5630,5.79,58,59,433.1,Mountain West
Boise St.,71,892,5392,6.04,42,45,385.1,Mountain West
West Virginia,66,856,4950,5.78,41,44,380.8,Big 12
Missouri,33,827,4369,5.28,30,31,336.1,SEC
Notre Dame,5,809,3592,4.44,22,23,276.3,FBS Independent
Oklahoma St.,122,955,6185,6.48,50,52,441.8,Big 12
Miami,24,808,4181,5.17,34,35,321.6,FL
UCLA,10,846,3920,4.63,21,25,301.5,Pac-12
Cincinnati,93,725,4833,6.67,44,46,402.8,Big 12
Georgia Tech,120,903,5682,6.29,46,49,437.1,ACC
Washington St.,78,824,4673,5.67,40,43,389.4,Pac-12
UTSA,55,926,4798,5.18,35,37,369.1,AAC
Ga. Southern,88,850,5147,6.06,50,51,395.9,Sun Belt
Troy,14,907,4314,4.76,26,27,308.1,Sun Belt
Toledo,27,936,4645,4.96,30,33,331.8,MAC
Coastal Carolina,64,853,4934,5.78,36,38,379.5,Sun Belt
Louisville,21,835,4439,5.32,35,38,317.1,ACC
UNLV,103,930,5817,6.25,49,50,415.5,Mountain West
New Mexico St.,83,964,5886,6.11,41,42,392.4,CUSA
New Mexico,99,727,4898,6.74,49,51,408.2,Mountain West
Oregon St.,39,839,4551,5.42,37,37,350.1,Pac-12
Florida,69,712,4587,6.44,39,40,382.2,SEC
Ohio St.,3,828,3450,4.17,15,15,265.4,Big Ten
Texas A&M,19,786,4110,5.23,28,34,316.2,SEC
San Jose St.,42,845,4591,5.43,42,44,353.2,Mountain West
Clemson,8,797,3742,4.70,30,34,287.8,ACC
